task,sigma_s,sigma_r,wb,wg,wr,error
a,3,0.1,0.2,0.5,0.3,14330627
a,3,0.1,0.2,0.4,0.4,14560680
a,3,0.1,0.2,0.3,0.5,14693107
a,3,0.1,0.2,0.2,0.6,14703205
a,3,0.1,0.2,0.1,0.7,14653912
a,3,0.1,0.2,0.0,0.8,14511019
a,3,0.1,0.3,0.7,0.0,12533137
a,3,0.1,0.3,0.6,0.1,13113212
a,3,0.1,0.3,0.5,0.2,13645125
a,3,0.1,0.3,0.4,0.3,14067613
a,3,0.1,0.3,0.3,0.4,14395079
a,3,0.1,0.3,0.2,0.5,14606761
a,3,0.1,0.3,0.1,0.6,14739208
a,3,0.1,0.3,0.0,0.7,14756105
a,3,0.1,0.4,0.6,0.0,11916697
a,3,0.1,0.4,0.5,0.1,12488327
a,3,0.1,0.4,0.4,0.2,13068503
a,3,0.1,0.4,0.3,0.3,13600000
a,3,0.1,0.4,0.2,0.4,14050287
a,3,0.1,0.4,0.1,0.5,14366504
a,3,0.1,0.4,0.0,0.6,14572168
a,3,0.1,0.5,0.5,0.0,11347431
a,3,0.1,0.5,0.4,0.1,11904291
a,3,0.1,0.5,0.3,0.2,12471135
a,3,0.1,0.5,0.2,0.3,13015876
a,3,0.1,0.5,0.1,0.4,13504735
a,3,0.1,0.5,0.0,0.5,13917368
a,3,0.1,0.6,0.4,0.0,10777407
a,3,0.1,0.6,0.3,0.1,11320325
a,3,0.1,0.6,0.2,0.2,11882852
a,3,0.1,0.6,0.1,0.3,12397059
a,3,0.1,0.6,0.0,0.4,12914357
a,3,0.1,0.7,0.3,0.0,10159454
a,3,0.1,0.7,0.2,0.1,10721011
a,3,0.1,0.7,0.1,0.2,11246346
a,3,0.1,0.7,0.0,0.3,11790280
a,3,0.1,0.8,0.2,0.0,9489412
a,3,0.1,0.8,0.1,0.1,10036913
a,3,0.1,0.8,0.0,0.2,10591804
a,3,0.1,0.9,0.1,0.0,8723496
a,3,0.1,0.9,0.0,0.1,9268953
a,3,0.1,1.0,0.0,0.0,7975871
a,3,0.2,0.0,1.0,0.0,15570606
a,3,0.2,0.0,0.9,0.1,15704321
a,3,0.2,0.0,0.8,0.2,15819972
a,3,0.2,0.0,0.7,0.3,15885321
a,3,0.2,0.0,0.6,0.4,15915217
a,3,0.2,0.0,0.5,0.5,15903251
a,3,0.2,0.0,0.4,0.6,15834638
a,3,0.2,0.0,0.3,0.7,15729737
a,3,0.2,0.0,0.2,0.8,15566425
a,3,0.2,0.0,0.1,0.9,15324710
a,3,0.2,0.0,0.0,1.0,14951847
a,3,0.2,0.1,0.9,0.0,15564848
a,3,0.2,0.1,0.8,0.1,15740599
a,3,0.2,0.1,0.7,0.2,15865971
a,3,0.2,0.1,0.6,0.3,15983768
a,3,0.2,0.1,0.5,0.4,16027312
a,3,0.2,0.1,0.4,0.5,16041543
a,3,0.2,0.1,0.3,0.6,16006434
a,3,0.2,0.1,0.2,0.7,15922023
a,3,0.2,0.1,0.1,0.8,15788339
a,3,0.2,0.1,0.0,0.9,15601715
a,3,0.2,0.2,0.8,0.0,15523846
a,3,0.2,0.2,0.7,0.1,15720989
a,3,0.2,0.2,0.6,0.2,15880507
a,3,0.2,0.2,0.5,0.3,16011046
a,3,0.2,0.2,0.4,0.4,16097375
a,3,0.2,0.2,0.3,0.5,16133178
a,3,0.2,0.2,0.2,0.6,16126575
a,3,0.2,0.2,0.1,0.7,16073370
a,3,0.2,0.2,0.0,0.8,15949230
a,3,0.2,0.3,0.7,0.0,15411206
a,3,0.2,0.3,0.6,0.1,15642599
a,3,0.2,0.3,0.5,0.2,15831455
a,3,0.2,0.3,0.4,0.3,15982072
a,3,0.2,0.3,0.3,0.4,16104095
a,3,0.2,0.3,0.2,0.5,16190906
a,3,0.2,0.3,0.1,0.6,16209358
a,3,0.2,0.3,0.0,0.7,16175750
a,3,0.2,0.4,0.6,0.0,15232914
a,3,0.2,0.4,0.5,0.1,15495687
a,3,0.2,0.4,0.4,0.2,15725800
a,3,0.2,0.4,0.3,0.3,15908242
a,3,0.2,0.4,0.2,0.4,16039910
a,3,0.2,0.4,0.1,0.5,16161328
a,3,0.2,0.4,0.0,0.6,16213575
a,3,0.2,0.5,0.5,0.0,14963103
a,3,0.2,0.5,0.4,0.1,15284900
a,3,0.2,0.5,0.3,0.2,15546795
